Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
0.000139700,0,0,1,0
0.000571100,0,0,1,1
0.001069700,0,0,0,1
0.001857100,0,0,0,0
0.002389300,0,0,1,0
0.002420600,1,0,1,0
0.002691200,0,0,1,0
0.002949100,0,1,1,0
0.004216700,0,1,0,0
0.004418800,0,0,0,0
0.004870400,0,0,0,1
0.004900500,1,0,0,1
0.006830500,0,0,0,1
0.006946000,0,0,1,1
0.007389900,0,0,1,0
0.007626700,0,0,0,0
0.007672000,0,1,0,0
0.008262400,1,1,0,0
0.009103600,0,1,0,0
0.009788800,0,1,0,1
0.009826700,1,1,0,1
0.009855200,1,0,0,1
0.010270400,1,0,1,1
0.010924500,0,0,1,1
0.011794300,0,1,1,1
0.012542000,0,1,0,1
0.012696700,1,1,0,1
0.012730400,1,1,0,0
0.013827800,0,1,0,0
0.014220900,0,0,0,0
0.014760400,0,0,0,1
0.014893000,1,0,0,1
0.015222000,1,0,1,1
0.015803900,1,0,1,0
0.016944800,1,1,1,0
0.017239200,0,1,1,0
0.017514700,0,1,1,1
0.017660600,0,0,1,1
0.017898500,0,0,0,1
0.017941800,0,0,0,0
0.018309100,0,1,0,0
0.019434200,0,1,1,0
0.019488500,1,1,1,0
0.020307400,1,1,1,1
0.020693000,1,1,0,1
0.020957200,1,0,0,1
0.021239300,0,0,0,1
0.021474000,0,1,0,1
0.021624700,0,1,1,1
0.022936100,0,1,1,0
0.023030300,1,1,1,0
0.024089400,1,1,0,0
0.024204300,0,1,0,0
0.024581700,0,0,0,0
0.024633200,0,1,0,0
0.024680600,0,1,1,0
0.025131500,0,1,1,1
0.026471100,0,1,1,0
0.026477300,0,0,1,0
0.026601200,0,0,0,0
0.026810800,0,0,0,1
0.027205300,1,0,0,1
0.027332100,1,0,0,0
0.027937500,1,0,1,0
0.028137000,1,1,1,0
0.029451600,0,1,1,0
0.029719800,0,0,1,0
0.029747900,0,0,0,0
0.030043200,0,0,0,1
0.030104800,1,0,0,1
0.030662700,1,0,0,0
0.031165300,1,0,1,0
0.031520700,1,1,1,0
0.031535400,1,1,1,1
0.032017400,0,1,1,1
0.032942400,0,1,0,1
0.033068400,0,0,0,1
0.033464600,1,0,0,1
0.033889600,1,0,0,0
0.035078500,1,0,0,1
0.035162800,1,0,1,1
0.035592600,0,0,1,1
0.035619500,0,0,0,1
0.035746100,0,0,0,0
0.035956800,0,1,0,0
0.036278000,0,0,0,0
0.036417100,1,0,0,0
0.036660100,1,0,0,1
0.037880500,1,1,0,1
0.038098100,1,1,0,0
0.038156100,1,1,1,0
0.038788500,0,1,1,0
0.039879100,0,0,1,0
0.040258900,1,0,1,0
0.040300900,1,0,0,0
0.041131600,1,0,0,1
0.041188400,1,0,1,1
