name,type,start_time,duration
"Test Analyzer","enable",0.0010697,1e-07
"Test Analyzer","disable",0.0023893,1e-07
"Test Analyzer","error",0.0042167,0.0027294
"Test Analyzer","enable",0.0076267,1e-07
"Test Analyzer","disable",0.0102704,1e-07
"Test Analyzer","error",0.012542,0.0026801
"Test Analyzer","enable",0.0178985,1e-07
"Test Analyzer","disable",0.0194342,1e-07
"Test Analyzer","error",0.020693,0.0009318
"Test Analyzer","error",0.0240894,0.0005913
"Test Analyzer","enable",0.0266012,1e-07
"Test Analyzer","disable",0.0279375,1e-07
"Test Analyzer","enable",0.0297479,1e-07
"Test Analyzer","disable",0.0311653,1e-07
"Test Analyzer","error",0.0329424,0.0022205
"Test Analyzer","enable",0.0356195,1e-07
"Test Analyzer","disable",0.0381561,1e-07
"Test Analyzer","enable",0.0403009,1e-07
"Test Analyzer","disable",0.0411884,1e-07
"Test Analyzer","enable",0.0415004,1e-07
"Test Analyzer","disable",0.0422736,1e-07
"Test Analyzer","enable",0.0454319,1e-07
"Test Analyzer","disable",0.0480115,1e-07
"Test Analyzer","enable",0.0505176,1e-07
"Test Analyzer","disable",0.0528484,1e-07
"Test Analyzer","error",0.0550618,0.0020234
"Test Analyzer","error",0.0584972,0.0024686
"Test Analyzer","error",0.0635461,0.0027867
"Test Analyzer","enable",0.0667822,1e-07
"Test Analyzer","disable",0.069193,1e-07
"Test Analyzer","error",0.070051,0.0026262
"Test Analyzer","error",0.0729521,0.0025924
"Test Analyzer","error",0.0768557,0.0018002
"Test Analyzer","enable",0.080272,1e-07
"Test Analyzer","disable",0.0803936,1e-07
"Test Analyzer","error",0.0809839,0.0002175
"Test Analyzer","error",0.0819555,0.0027478
"Test Analyzer","error",0.0874732,0.0007555
"Test Analyzer","enable",0.0897705,1e-07
"Test Analyzer","disable",0.0922286,1e-07
"Test Analyzer","enable",0.0934971,1e-07
"Test Analyzer","disable",0.0966993,1e-07
"Test Analyzer","error",0.0978356,0.0019079
"Test Analyzer","error",0.1011484,0.0011874
"Test Analyzer","enable",0.1043218,1e-07
"Test Analyzer","disable",0.1049333,1e-07
"Test Analyzer","error",0.1072999,0.0030141
"Test Analyzer","error",0.1127385,0.0019394
"Test Analyzer","enable",0.1158225,1e-07
"Test Analyzer","disable",0.1162039,1e-07
"Test Analyzer","enable",0.1168443,1e-07
"Test Analyzer","disable",0.1187712,1e-07
"Test Analyzer","error",0.1198681,0.0013767
"Test Analyzer","enable",0.1230788,1e-07
"Test Analyzer","disable",0.124694,1e-07
"Test Analyzer","error",0.1267804,0.0015565
"Test Analyzer","error",0.1308192,0.0017761
"Test Analyzer","error",0.1350407,0.0026407
"Test Analyzer","enable",0.139099,1e-07
"Test Analyzer","disable",0.1399201,1e-07
"Test Analyzer","enable",0.139996,1e-07
"Test Analyzer","disable",0.1431605,1e-07
"Test Analyzer","enable",0.1449516,1e-07
"Test Analyzer","disable",0.1449539,1e-07
"Test Analyzer","error",0.1480843,0.0022648
"Test Analyzer","enable",0.1513662,1e-07
"Test Analyzer","disable",0.1540493,1e-07
"Test Analyzer","enable",0.1549205,1e-07
"Test Analyzer","disable",0.1551192,1e-07
"Test Analyzer","enable",0.1554935,1e-07
"Test Analyzer","disable",0.1571934,1e-07
"Test Analyzer","error",0.1572227,0.0013676
"Test Analyzer","error",0.1588829,0.0030737
"Test Analyzer","enable",0.1648988,1e-07
"Test Analyzer","disable",0.1654488,1e-07
"Test Analyzer","enable",0.1677398,1e-07
